;World Equities;Emerging Equities;World Bonds;US High Yield;Oil;Dollar;Gold
13.03.2020;1881.64;891.19;336.904;1829.946;31.73;98.749;1529.83
20.03.2020;1650.94;803.23;328.012;1636.929;22.43;102.817;1498.65
27.03.2020;1827.17;842.54;338.474;1725.587;21.51;98.365;1628.16
03.04.2020;1776.86;831.72;336.484;1707.91;28.34;100.576;1620.81
10.04.2020;1971.96;888.16;336.484;1707.91;22.76;99.482;1696.65
17.04.2020;2017.51;901.31;337.765;1844.437;18.27;99.782;1682.82
24.04.2020;1987.65;879.41;338.042;1802.32;16.94;100.38;1729.6
01.05.2020;2004.79;916.77;340.749;1811.998;19.78;99.079;1700.42
08.05.2020;2061.89;911.65;339.087;1829.617;24.74;99.734;1702.7
15.05.2020;2008.41;901.16;337.567;1816.107;29.43;100.402;1743.67
22.05.2020;2071.9;905.25;338.547;1865.902;33.25;99.863;1734.68
29.05.2020;2147.88;930.35;340.529;1899.845;35.49;98.344;1730.27
05.06.2020;2266.76;1002.65;337.505;1962.945;39.55;96.937;1685.06
12.06.2020;2164.46;987.01;341.922;1932.964;36.26;97.319;1730.75
19.06.2020;2208.97;1001.36;341.46;1949.592;39.75;97.623;1743.87
26.06.2020;2157.19;998.9;342.469;1925.112;38.49;97.433;1771.29
03.07.2020;2226.4;1033.09;342.293;1934.097;40.65;97.172;1775.95
10.07.2020;2259.6;1069.27;345.23;1939.37;40.55;96.652;1798.7
17.07.2020;2293.92;1055.06;345.398;1962.288;40.59;95.942;1810.42
24.07.2020;2291.58;1060.47;349.709;1992.192;41.29;94.435;1902.02
31.07.2020;2304.98;1078.92;353.249;2009.998;40.27;93.349;1975.86
07.08.2020;2355.97;1089.32;352.483;2021.655;41.22;93.435;2035.55
14.08.2020;2384.2;1093.16;349.502;2011.026;42.01;93.096;1945.12
21.08.2020;2392.11;1091.85;350.766;2012.945;42.58;93.247;1940.48
28.08.2020;2456.86;1121.6;350.734;2028.704;42.97;92.371;1964.83
04.09.2020;2399.6;1099.5;349.814;2026.23;39.77;92.719;1933.94
11.09.2020;2368.14;1091.79;350.52;2021.675;37.33;93.333;1940.55
18.09.2020;2367.99;1108.53;352.822;2024.565;41.11;92.926;1950.86
25.09.2020;2326.85;1059.1;349.769;1992.783;40.25;94.642;1861.58
02.10.2020;2362.41;1081.71;350.79;2010.471;37.05;93.844;1899.84
09.10.2020;2447.76;1122.51;350.891;2036.647;40.6;93.057;1930.4
16.10.2020;2440.14;1124.08;351.5;2036.863;40.88;93.682;1899.29
23.10.2020;2430.54;1136.45;351.208;2040.493;39.85;92.768;1902.05
30.10.2020;2292.93;1103.46;350.195;2018.257;35.79;94.038;1878.81
06.11.2020;2470.05;1176.36;354.416;2061.017;37.14;92.229;1951.35
13.11.2020;2529.29;1188.35;351.685;2070.258;40.13;92.755;1889.2
20.11.2020;2540.02;1209.26;354.405;2082.837;42.15;92.392;1870.99
27.11.2020;2601.45;1230.72;355.001;2096.45;45.53;91.79;1787.79
04.12.2020;2639.66;1251.04;354.975;2115.853;46.26;90.701;1838.86
11.12.2020;2621.89;1257.66;356.981;2118.45;46.57;90.976;1839.85
18.12.2020;2666.3;1268.36;357.831;2125.761;49.1;90.016;1881.35
25.12.2020;2659.27;1255.2;357.831;2125.761;48.23;90.223;1883.46
01.01.2021;2690.04;1291.75;357.831;2125.761;48.52;89.937;1898.67
08.01.2021;2753.31;1353.53;356.263;2143.01;52.24;90.098;1849.01
15.01.2021;2714.81;1358.03;354.776;2145.678;52.36;90.772;1828.45
22.01.2021;2755.66;1392.85;355.023;2147.061;52.27;90.238;1855.61
29.01.2021;2661.69;1329.57;354.158;2144.903;52.2;90.584;1847.65
05.02.2021;2773.45;1395.35;350.895;2160.581;56.85;91.042;1814.11
12.02.2021;2818.85;1428.87;351.804;2166.88;59.47;90.48;1824.23
19.02.2021;2806.47;1430.03;348.78;2165.716;59.24;90.364;1784.25
